uf,regiao,bioma,mes,precipitacao_mm,precipitacao_max_24h_mm,dias_com_chuva,temperatura_media_c,umidade_relativa_pct,rajada_vento_max_kmh,altitude_m,declividade_media_pct,densidade_demografica_hab_km2,pct_area_urbana,indice_vegetacao_ndvi,tipo_desastre
PE,Nordeste,Caatinga,4,145.6,62.0,15,24.9,62.3,53.2,514.0,11.5,11.6,18.7,0.491,nenhum
SP,Sudeste,Mata Atlantica,5,174.9,35.3,16,22.0,87.6,24.6,85.0,20.8,22.6,18.7,0.612,nenhum
DF,Centro-Oeste,Cerrado,4,75.3,21.3,3,27.0,61.8,85.5,559.0,6.5,4.2,11.6,0.275,tempestade
AP,Norte,Cerrado,11,143.4,51.3,16,28.0,90.9,49.7,157.0,4.1,115.3,19.6,0.53,nenhum
PA,Norte,Amazonia,7,36.0,15.0,4,24.6,76.5,20.2,64.0,2.8,27.3,22.8,0.236,incendio_florestal
MG,Sudeste,Mata Atlantica,12,128.9,23.5,12,24.4,76.2,28.9,459.0,16.9,34.1,14.4,0.53,nenhum
AC,Norte,Amazonia,12,486.2,183.1,27,24.4,100.0,49.1,143.0,9.2,345.1,28.9,0.764,inundacao
AL,Nordeste,Cerrado,8,139.7,27.0,5,25.1,78.0,40.2,185.0,16.5,56.9,27.3,0.455,nenhum
AL,Nordeste,Caatinga,10,44.6,19.6,2,26.0,58.9,47.5,59.0,19.2,615.4,28.4,0.312,incendio_florestal
SE,Nordeste,Mata Atlantica,2,85.4,26.9,6,29.3,68.3,44.3,166.0,2.9,148.8,32.3,0.362,incendio_florestal
RN,Nordeste,Caatinga,12,75.8,23.6,6,29.1,64.2,25.0,526.0,1.4,25.5,21.7,0.418,deslizamento
SP,Sudeste,Mata Atlantica,6,101.3,52.8,9,21.2,80.6,60.2,400.0,1.0,9.1,17.4,0.394,nenhum
AP,Norte,Amazonia,9,219.2,85.8,17,24.0,88.8,64.1,139.0,7.1,38.2,19.2,0.663,tempestade
MG,Sudeste,Mata Atlantica,3,253.4,57.1,21,23.9,78.1,47.6,834.0,5.4,224.1,19.9,0.621,nenhum
SC,Sul,Mata Atlantica,2,221.1,57.8,19,21.8,85.7,53.7,855.0,4.3,6.0,12.7,0.718,nenhum
SE,Nordeste,Caatinga,11,35.9,16.0,4,30.3,67.4,29.1,571.0,11.4,19.6,14.5,0.227,estiagem_seca
RN,Nordeste,Caatinga,6,72.2,16.3,7,25.0,60.6,25.4,428.0,10.5,14.0,19.2,0.319,nenhum
RJ,Sudeste,Mata Atlantica,2,237.3,94.0,19,25.6,81.8,33.1,532.0,18.7,25.8,20.0,0.602,deslizamento
PA,Norte,Amazonia,8,88.1,26.9,5,23.5,87.0,65.8,167.0,9.4,88.4,24.5,0.391,nenhum
AL,Nordeste,Caatinga,1,39.4,17.7,2,26.0,70.9,29.9,72.0,1.0,65.6,19.5,0.346,estiagem_seca
PR,Sul,Mata Atlantica,6,66.4,42.4,6,18.9,85.2,7.0,163.0,14.0,63.6,18.2,0.382,nenhum
SC,Sul,Pampa,9,107.9,63.8,10,15.2,79.6,39.4,429.0,8.3,6.0,16.3,0.388,nenhum
RJ,Sudeste,Mata Atlantica,9,187.8,64.1,17,23.2,86.3,29.3,516.0,2.0,141.7,20.0,0.66,nenhum
RN,Nordeste,Caatinga,6,55.2,25.0,6,24.6,73.9,16.9,473.0,9.1,218.4,18.7,0.405,nenhum
RJ,Sudeste,Mata Atlantica,5,87.5,29.2,8,18.8,69.5,24.6,467.0,18.8,34.2,19.6,0.397,nenhum
MG,Sudeste,Mata Atlantica,11,222.3,78.3,17,23.1,84.6,35.0,10.0,19.9,12.8,18.8,0.581,inundacao
PB,Nordeste,Cerrado,3,96.4,31.6,6,25.5,72.8,42.4,600.0,13.1,166.7,16.5,0.309,nenhum
SP,Sudeste,Mata Atlantica,1,244.2,150.0,20,22.7,64.9,57.7,191.0,21.3,365.2,22.8,0.7,deslizamento
TO,Norte,Cerrado,2,411.7,120.2,28,30.9,98.0,22.4,181.0,2.0,86.7,25.6,0.631,nenhum
PI,Nordeste,Cerrado,10,65.5,21.8,3,26.5,65.7,40.4,340.0,1.5,16.6,16.7,0.415,nenhum
DF,Centro-Oeste,Pantanal,6,105.5,33.8,6,23.9,71.3,19.2,55.0,8.2,10.0,11.8,0.506,nenhum
MA,Nordeste,Cerrado,1,141.4,28.2,5,29.9,64.6,21.9,755.0,3.9,115.2,27.3,0.421,estiagem_seca
PI,Nordeste,Mata Atlantica,3,65.8,19.2,3,28.2,84.4,46.6,4.0,4.1,4.7,12.0,0.363,nenhum
MG,Sudeste,Mata Atlantica,1,236.2,129.2,16,24.3,90.3,27.3,1092.0,15.3,6.1,13.0,0.664,tempestade
RS,Sul,Mata Atlantica,10,93.9,30.0,7,18.2,66.9,33.4,531.0,12.5,67.7,22.1,0.484,nenhum
SP,Sudeste,Mata Atlantica,6,75.2,25.1,5,20.3,71.1,25.8,93.0,16.9,519.7,37.9,0.276,incendio_florestal
MG,Sudeste,Mata Atlantica,1,235.9,61.0,20,26.6,80.8,49.4,780.0,17.2,277.0,25.5,0.673,nenhum
SC,Sul,Pampa,3,196.2,101.3,16,19.4,89.4,47.0,607.0,11.5,87.3,16.2,0.589,nenhum
RN,Nordeste,Caatinga,8,108.7,34.3,13,24.7,59.4,41.1,458.0,7.9,2.2,11.6,0.549,nenhum
GO,Centro-Oeste,Pantanal,8,62.4,7.9,4,21.3,60.3,21.4,1077.0,10.1,1.2,10.3,0.315,nenhum
SE,Nordeste,Caatinga,10,45.7,14.4,5,28.5,70.0,36.2,65.0,12.3,38.1,15.3,0.243,incendio_florestal
AP,Norte,Amazonia,1,507.6,196.4,23,25.8,91.1,54.0,78.0,16.9,697.1,21.9,0.532,inundacao
SP,Sudeste,Mata Atlantica,1,284.9,98.0,20,23.5,82.7,34.7,427.0,6.2,13.0,17.7,0.688,inundacao
MT,Centro-Oeste,Cerrado,1,160.8,88.9,13,31.7,85.9,25.9,1678.0,8.2,180.1,34.1,0.484,tempestade
DF,Centro-Oeste,Cerrado,5,50.3,6.0,3,22.2,55.5,32.4,1183.0,7.9,78.5,28.5,0.27,nenhum
PB,Nordeste,Cerrado,9,42.9,16.1,1,24.1,66.0,32.9,543.0,7.4,20.9,21.9,0.355,incendio_florestal
CE,Nordeste,Caatinga,8,20.6,11.5,2,22.9,62.4,61.7,441.0,9.4,26.7,16.1,0.375,estiagem_seca
PR,Sul,Mata Atlantica,3,104.0,26.9,12,22.9,82.9,36.1,705.0,9.8,4.0,13.8,0.371,nenhum
PA,Norte,Amazonia,8,66.7,19.4,6,22.9,84.7,29.5,142.0,10.6,95.5,17.6,0.331,nenhum
PE,Nordeste,Caatinga,8,32.3,10.4,0,24.2,64.6,32.3,714.0,23.3,18.5,17.2,0.168,incendio_florestal
PB,Nordeste,Caatinga,3,162.8,34.3,10,25.5,64.9,27.0,415.0,3.3,176.4,29.6,0.488,nenhum
MS,Centro-Oeste,Cerrado,9,104.5,20.9,7,25.0,77.1,24.3,1231.0,7.2,35.2,16.4,0.374,nenhum
SP,Sudeste,Cerrado,6,45.3,17.1,8,17.0,67.0,29.3,342.0,19.3,31.7,24.0,0.259,incendio_florestal
DF,Centro-Oeste,Cerrado,1,395.2,137.5,29,29.1,83.1,38.0,994.0,14.5,2.1,12.7,0.681,deslizamento
TO,Norte,Amazonia,5,108.0,40.2,7,22.9,86.3,29.7,149.0,4.6,76.1,25.1,0.433,nenhum
BA,Nordeste,Caatinga,10,46.1,23.3,4,26.4,66.8,24.7,207.0,4.6,106.3,29.9,0.254,incendio_florestal
SP,Sudeste,Mata Atlantica,9,70.9,15.8,3,20.4,67.5,65.3,219.0,22.9,326.4,22.8,0.477,nenhum
MG,Sudeste,Cerrado,4,103.4,21.3,5,20.3,79.8,25.5,791.0,20.1,13.9,21.2,0.394,nenhum
MG,Sudeste,Mata Atlantica,10,118.8,37.2,6,20.7,80.7,58.0,840.0,13.1,73.5,20.8,0.331,nenhum
MG,Sudeste,Mata Atlantica,5,149.1,44.1,12,21.0,71.8,31.4,109.0,18.7,90.0,21.5,0.43,nenhum
MG,Sudeste,Cerrado,6,49.7,14.8,3,20.0,77.8,23.2,1156.0,24.7,7.3,17.5,0.358,nenhum
AP,Norte,Amazonia,2,374.5,66.3,30,25.8,87.6,29.9,176.0,0.8,19.3,21.9,0.708,inundacao
PI,Nordeste,Caatinga,12,73.5,31.9,6,32.5,67.2,16.5,187.0,12.5,8.3,17.2,0.357,estiagem_seca
MG,Sudeste,Mata Atlantica,11,248.8,85.1,18,24.2,85.9,41.5,128.0,21.3,9.4,15.0,0.679,deslizamento
AL,Nordeste,Caatinga,3,112.4,34.1,10,25.8,85.2,51.6,242.0,14.5,27.3,23.8,0.421,nenhum
MG,Sudeste,Cerrado,7,55.2,32.9,5,18.0,71.6,40.7,821.0,22.2,17.5,20.7,0.36,nenhum
GO,Centro-Oeste,Pantanal,10,91.9,29.8,7,22.5,70.8,35.7,825.0,10.8,48.1,20.2,0.379,nenhum
RJ,Sudeste,Mata Atlantica,7,40.2,15.2,4,20.6,64.6,90.3,130.0,4.8,126.4,22.3,0.194,tempestade
RS,Sul,Pampa,3,171.2,77.4,9,19.5,83.9,26.0,274.0,19.0,120.1,24.3,0.462,nenhum
MS,Centro-Oeste,Amazonia,12,166.7,60.5,11,28.5,72.0,56.6,741.0,8.7,160.8,31.8,0.44,nenhum
PR,Sul,Mata Atlantica,4,139.3,51.7,12,17.2,73.4,43.2,589.0,10.2,33.2,23.9,0.373,deslizamento
SP,Sudeste,Mata Atlantica,5,170.3,26.8,12,19.7,78.6,17.4,448.0,17.5,22.8,13.5,0.456,nenhum
PR,Sul,Pampa,5,176.8,62.7,12,16.5,77.2,27.4,132.0,15.5,7.8,16.7,0.567,nenhum
MA,Nordeste,Caatinga,11,28.3,16.1,0,28.5,70.6,22.2,183.0,10.9,141.1,24.5,0.249,estiagem_seca
DF,Centro-Oeste,Cerrado,7,32.4,13.6,4,16.9,79.3,45.3,270.0,12.4,213.7,19.2,0.324,estiagem_seca
SP,Sudeste,Mata Atlantica,9,131.6,23.3,13,19.4,79.8,35.9,87.0,18.1,323.6,17.4,0.582,nenhum
AP,Norte,Amazonia,11,437.9,216.8,29,28.3,97.1,42.9,199.0,13.0,79.2,21.5,0.714,deslizamento
PI,Nordeste,Cerrado,12,67.0,21.8,4,29.0,68.3,27.4,610.0,20.4,24.5,15.8,0.395,incendio_florestal
SC,Sul,Pampa,11,96.3,36.9,6,20.8,74.8,13.0,377.0,16.2,9.7,13.8,0.303,nenhum
RJ,Sudeste,Cerrado,11,185.6,46.0,12,21.1,79.0,46.1,417.0,21.3,6.6,15.6,0.603,nenhum
SE,Nordeste,Mata Atlantica,12,131.9,88.5,8,33.3,71.3,79.4,593.0,11.4,2.6,12.3,0.473,tempestade
PE,Nordeste,Caatinga,12,114.2,26.1,7,28.8,79.4,57.6,44.0,4.0,230.9,20.7,0.5,nenhum
SE,Nordeste,Caatinga,8,40.4,16.9,4,23.4,56.8,34.3,309.0,9.4,87.7,29.2,0.172,incendio_florestal
AC,Norte,Amazonia,2,203.5,87.0,11,28.8,78.6,59.6,138.0,1.0,1642.9,32.8,0.604,tempestade
SC,Sul,Mata Atlantica,2,215.7,58.3,21,23.3,80.5,45.4,545.0,10.7,41.2,15.4,0.576,nenhum
GO,Centro-Oeste,Amazonia,10,261.8,43.3,22,25.3,92.8,9.4,1024.0,9.2,53.8,17.1,0.604,incendio_florestal
RN,Nordeste,Caatinga,4,196.6,56.4,16,24.4,68.6,131.0,314.0,5.4,85.0,30.2,0.68,tempestade
SP,Sudeste,Mata Atlantica,10,135.0,99.7,9,17.9,73.3,71.5,562.0,18.5,121.2,23.7,0.453,tempestade
TO,Norte,Amazonia,12,314.5,140.8,26,27.1,100.0,22.1,189.0,20.0,17.9,20.3,0.657,deslizamento
CE,Nordeste,Caatinga,8,24.2,4.0,1,24.3,49.6,31.4,120.0,16.6,46.4,27.6,0.199,estiagem_seca
SP,Sudeste,Mata Atlantica,10,146.0,67.8,12,18.8,81.1,72.6,144.0,23.7,157.1,21.9,0.45,tempestade
MG,Sudeste,Cerrado,4,70.3,31.3,3,22.4,83.7,19.4,788.0,5.0,536.7,18.7,0.318,nenhum
SC,Sul,Pampa,6,76.6,15.7,3,15.3,75.6,34.2,683.0,5.2,12.5,17.6,0.343,nenhum
MG,Sudeste,Mata Atlantica,12,151.0,33.7,13,23.0,72.6,30.9,846.0,19.5,66.2,15.0,0.492,nenhum
GO,Centro-Oeste,Pantanal,10,55.1,28.3,3,23.2,65.8,23.9,996.0,3.9,56.7,20.0,0.296,nenhum
MG,Sudeste,Mata Atlantica,3,228.4,89.1,14,19.9,79.1,71.5,1841.0,21.5,32.6,16.0,0.563,tempestade
PR,Sul,Mata Atlantica,12,114.0,27.3,9,20.6,72.3,23.8,565.0,7.1,225.2,33.1,0.382,nenhum
ES,Sudeste,Mata Atlantica,6,30.0,4.4,1,18.5,92.4,29.2,1059.0,22.1,1510.5,21.7,0.283,estiagem_seca
SC,Sul,Mata Atlantica,11,154.7,64.6,10,18.6,97.3,33.1,426.0,19.7,85.6,28.8,0.522,nenhum
MG,Sudeste,Mata Atlantica,7,35.0,15.5,5,19.3,75.4,27.8,1168.0,26.2,15.3,16.6,0.364,estiagem_seca
RS,Sul,Mata Atlantica,8,212.3,70.6,20,14.5,95.0,30.9,377.0,14.9,5.8,14.2,0.592,inundacao
AC,Norte,Amazonia,2,308.1,132.8,25,27.2,99.6,27.4,37.0,2.4,44.2,14.4,0.706,inundacao
MG,Sudeste,Mata Atlantica,5,79.2,39.0,5,21.0,66.3,27.7,128.0,9.0,203.5,29.9,0.38,nenhum
DF,Centro-Oeste,Cerrado,9,156.5,67.7,18,23.8,72.4,68.8,482.0,2.1,36.2,22.7,0.45,tempestade
SP,Sudeste,Mata Atlantica,11,685.2,226.3,22,21.7,80.7,47.9,212.0,23.6,72.9,24.8,0.666,deslizamento
MG,Sudeste,Cerrado,2,296.3,122.1,22,23.6,78.6,38.8,519.0,20.2,926.5,23.1,0.679,deslizamento
PR,Sul,Pampa,1,123.3,23.0,8,26.8,82.9,51.4,559.0,13.2,130.6,23.3,0.301,nenhum
RS,Sul,Pampa,9,60.7,29.5,3,18.1,78.2,28.8,1035.0,10.2,53.8,26.0,0.306,nenhum
RN,Nordeste,Caatinga,6,45.2,13.2,1,24.7,67.7,13.8,401.0,14.8,6.6,11.3,0.333,incendio_florestal
RJ,Sudeste,Mata Atlantica,11,303.9,130.9,27,21.4,86.7,54.8,1436.0,16.5,165.2,29.7,0.588,deslizamento
MG,Sudeste,Mata Atlantica,1,160.8,39.9,17,26.1,80.6,21.2,1739.0,12.9,114.1,28.1,0.546,nenhum
MA,Nordeste,Cerrado,5,198.4,102.6,16,22.9,75.9,32.1,636.0,3.1,170.4,33.1,0.655,tempestade
AM,Norte,Amazonia,1,438.1,269.9,28,27.0,98.5,30.9,81.0,16.5,7.5,15.7,0.703,inundacao
AC,Norte,Amazonia,9,147.9,27.1,14,23.5,75.8,22.5,13.0,4.9,47.1,18.5,0.405,nenhum
MG,Sudeste,Mata Atlantica,11,218.3,51.8,21,22.6,76.3,23.9,347.0,16.0,117.9,16.7,0.604,nenhum
DF,Centro-Oeste,Amazonia,2,171.5,104.6,13,28.8,68.0,42.7,947.0,5.2,5.5,16.6,0.472,tempestade
PR,Sul,Mata Atlantica,4,98.0,32.5,6,20.0,92.7,15.2,648.0,23.0,60.2,22.4,0.527,nenhum
DF,Centro-Oeste,Cerrado,11,166.8,53.1,13,28.2,63.5,53.5,374.0,2.3,252.0,22.8,0.471,nenhum
RS,Sul,Mata Atlantica,1,151.4,26.3,10,22.1,93.4,28.6,511.0,7.1,18.9,21.7,0.496,nenhum
MS,Centro-Oeste,Amazonia,12,174.3,40.7,10,29.0,75.2,30.8,404.0,3.2,242.0,30.3,0.576,deslizamento
ES,Sudeste,Mata Atlantica,11,84.0,17.5,10,23.6,88.4,32.1,392.0,16.7,51.5,15.5,0.323,nenhum
RO,Norte,Cerrado,2,269.0,91.6,17,26.1,87.2,20.8,211.0,16.0,57.1,23.7,0.605,deslizamento
RJ,Sudeste,Mata Atlantica,2,188.6,94.2,15,26.2,80.1,48.2,889.0,18.3,216.2,32.4,0.605,tempestade
ES,Sudeste,Mata Atlantica,9,118.6,58.2,11,21.4,73.6,45.1,563.0,11.6,17.7,15.3,0.528,nenhum
RS,Sul,Mata Atlantica,1,417.4,123.5,28,20.7,82.8,48.9,3.0,11.8,7.1,12.9,0.621,inundacao
ES,Sudeste,Cerrado,7,25.9,6.6,2,18.5,64.5,17.8,574.0,19.1,33.2,25.4,0.177,incendio_florestal
AP,Norte,Amazonia,1,636.7,364.4,28,27.5,100.0,40.0,51.0,1.7,80.8,26.0,0.69,inundacao
PE,Nordeste,Cerrado,7,70.4,30.4,3,25.3,57.8,35.0,505.0,17.4,83.5,28.8,0.357,nenhum
RO,Norte,Amazonia,5,116.5,53.6,8,23.9,100.0,27.7,7.0,6.1,79.3,20.5,0.386,nenhum
RO,Norte,Amazonia,9,130.2,45.1,12,23.1,95.6,31.5,185.0,11.3,16.2,21.7,0.466,incendio_florestal
RJ,Sudeste,Mata Atlantica,11,221.4,110.4,15,22.3,74.6,32.5,929.0,13.9,100.8,24.9,0.524,tempestade
RJ,Sudeste,Cerrado,6,75.8,31.0,5,18.4,66.3,64.6,1845.0,25.9,42.2,21.4,0.386,deslizamento
MG,Sudeste,Cerrado,8,46.7,7.7,3,15.5,72.5,42.3,1224.0,27.3,487.9,23.5,0.308,incendio_florestal
PR,Sul,Mata Atlantica,8,147.7,48.8,12,17.0,83.6,23.3,155.0,14.4,187.5,16.8,0.378,nenhum
MG,Sudeste,Mata Atlantica,12,150.3,72.4,16,26.6,71.8,33.6,1472.0,12.8,107.6,24.1,0.45,nenhum
SP,Sudeste,Cerrado,3,134.5,20.4,8,22.2,82.9,20.2,161.0,14.8,37.6,26.4,0.418,nenhum
AC,Norte,Amazonia,3,142.4,79.6,10,28.1,95.0,29.9,43.0,10.1,29.0,18.1,0.524,tempestade
BA,Nordeste,Caatinga,5,75.3,25.2,9,25.8,75.1,28.7,610.0,15.2,35.2,25.5,0.265,nenhum
MG,Sudeste,Cerrado,9,80.8,25.6,6,21.8,71.1,24.4,1123.0,22.6,74.6,15.9,0.453,nenhum
SC,Sul,Mata Atlantica,11,117.6,54.7,11,21.5,79.4,35.4,306.0,3.9,214.4,20.8,0.431,nenhum
AP,Norte,Cerrado,4,159.6,85.9,12,26.4,92.1,43.9,7.0,12.6,5.5,12.8,0.6,tempestade
DF,Centro-Oeste,Cerrado,2,226.3,40.0,14,27.2,75.8,29.5,1064.0,19.9,23.3,17.2,0.538,deslizamento
MG,Sudeste,Mata Atlantica,8,53.1,22.3,6,19.2,80.0,19.8,232.0,16.2,320.5,28.4,0.307,deslizamento
AC,Norte,Amazonia,8,121.3,60.5,9,22.2,80.9,32.7,231.0,3.7,21.0,22.0,0.442,nenhum
PB,Nordeste,Cerrado,5,83.6,17.6,1,26.8,60.3,31.5,135.0,6.4,13.9,17.7,0.39,nenhum
RS,Sul,Mata Atlantica,3,154.8,48.1,12,20.9,80.3,75.6,664.0,8.1,245.2,19.2,0.523,deslizamento
ES,Sudeste,Mata Atlantica,11,233.3,87.5,20,25.3,84.8,44.5,1388.0,9.4,104.8,16.0,0.669,nenhum
PI,Nordeste,Cerrado,11,37.7,18.6,2,28.4,61.1,13.7,308.0,8.3,68.8,25.1,0.115,incendio_florestal
RS,Sul,Mata Atlantica,9,273.7,46.5,22,16.1,85.8,34.3,128.0,8.6,123.3,27.8,0.761,nenhum
SE,Nordeste,Mata Atlantica,7,61.4,9.7,4,24.1,65.3,49.8,124.0,16.7,32.3,13.6,0.304,nenhum
PR,Sul,Pampa,4,134.6,81.1,13,18.0,80.8,42.7,586.0,17.6,52.0,15.5,0.434,nenhum
SE,Nordeste,Caatinga,5,93.7,25.2,3,24.8,76.9,34.0,355.0,4.7,56.8,27.0,0.372,nenhum
MG,Sudeste,Mata Atlantica,1,181.6,74.3,13,25.8,83.8,25.8,1247.0,22.3,30.3,20.6,0.578,deslizamento
RN,Nordeste,Cerrado,3,102.4,32.0,9,31.2,60.1,40.0,376.0,11.6,30.0,19.1,0.315,incendio_florestal
PE,Nordeste,Cerrado,6,41.5,15.2,4,24.4,65.7,26.4,521.0,15.9,13.2,13.1,0.211,incendio_florestal
SC,Sul,Pampa,6,111.9,28.0,7,16.5,82.0,41.2,435.0,9.5,23.3,16.2,0.536,nenhum
RN,Nordeste,Caatinga,1,96.6,28.7,5,30.4,71.3,48.0,602.0,9.0,25.6,21.5,0.365,incendio_florestal
AC,Norte,Cerrado,12,397.2,60.2,28,27.3,100.0,56.5,236.0,7.1,3.0,13.0,0.712,inundacao
AL,Nordeste,Cerrado,4,76.7,14.4,9,26.2,69.0,47.4,458.0,13.0,121.8,24.8,0.272,incendio_florestal
ES,Sudeste,Mata Atlantica,7,100.8,32.7,6,20.0,82.3,36.8,916.0,12.7,73.7,26.9,0.493,nenhum
MG,Sudeste,Cerrado,6,125.4,32.5,10,17.6,91.0,18.7,323.0,16.0,457.0,33.4,0.464,nenhum
RS,Sul,Mata Atlantica,6,103.3,35.2,12,16.0,81.6,21.7,503.0,3.6,6.8,13.3,0.387,nenhum
SE,Nordeste,Cerrado,11,34.8,7.6,1,28.1,67.6,30.2,102.0,8.9,10.8,19.9,0.39,estiagem_seca
BA,Nordeste,Caatinga,9,68.1,25.7,8,25.8,70.1,45.0,11.0,3.3,200.8,27.6,0.366,nenhum
MA,Nordeste,Caatinga,11,144.0,59.0,13,29.8,63.9,35.9,420.0,4.2,8.0,12.5,0.559,estiagem_seca
ES,Sudeste,Mata Atlantica,5,105.1,19.6,8,17.8,70.3,38.8,437.0,9.1,46.0,21.0,0.468,nenhum
RS,Sul,Mata Atlantica,4,205.2,88.3,11,22.1,94.3,55.8,337.0,2.6,34.2,19.0,0.566,nenhum
ES,Sudeste,Mata Atlantica,6,52.4,16.3,2,19.4,80.0,40.0,473.0,19.9,490.8,35.4,0.394,nenhum
RJ,Sudeste,Mata Atlantica,7,38.5,9.4,5,15.3,76.3,26.6,985.0,13.9,45.6,26.6,0.392,estiagem_seca
SE,Nordeste,Caatinga,5,205.5,64.5,18,23.2,82.0,71.2,645.0,13.9,45.3,17.0,0.724,tempestade
PR,Sul,Mata Atlantica,6,97.9,52.8,7,17.7,74.3,46.2,227.0,7.0,68.6,25.5,0.218,nenhum
MS,Centro-Oeste,Cerrado,2,146.3,51.0,8,26.9,59.6,48.1,902.0,11.5,13.5,17.3,0.494,nenhum
PI,Nordeste,Cerrado,8,57.2,13.3,4,24.3,63.5,37.6,294.0,4.9,23.0,23.1,0.339,nenhum
RN,Nordeste,Caatinga,9,34.2,6.5,1,25.9,61.7,60.3,51.0,1.3,9.5,12.4,0.282,estiagem_seca
PA,Norte,Amazonia,7,100.8,34.6,6,26.8,78.3,69.1,208.0,14.0,130.4,27.9,0.379,tempestade
PI,Nordeste,Caatinga,11,52.6,15.0,1,29.6,73.5,43.7,779.0,10.7,139.0,32.6,0.275,incendio_florestal
AM,Norte,Amazonia,12,440.6,190.7,27,31.3,85.5,65.5,224.0,2.3,13.9,17.7,0.771,inundacao
DF,Centro-Oeste,Cerrado,11,277.3,86.9,24,25.4,79.3,34.4,591.0,20.7,33.5,17.4,0.762,deslizamento
MG,Sudeste,Cerrado,2,252.3,64.1,18,23.1,89.5,56.2,828.0,21.5,62.6,24.2,0.682,deslizamento
PE,Nordeste,Caatinga,11,65.1,22.8,6,25.8,60.2,49.3,413.0,6.0,6.2,11.3,0.394,nenhum
DF,Centro-Oeste,Cerrado,5,143.9,41.2,12,20.8,72.7,20.1,537.0,9.7,109.9,24.6,0.467,nenhum
SC,Sul,Mata Atlantica,6,183.6,56.8,15,14.1,90.1,49.4,118.0,2.4,9.9,15.1,0.706,nenhum
RJ,Sudeste,Mata Atlantica,5,117.9,16.5,6,17.9,77.5,11.9,1275.0,15.9,3.9,11.2,0.486,nenhum
RJ,Sudeste,Mata Atlantica,4,127.9,21.4,8,20.2,85.3,19.7,1359.0,14.5,53.9,27.2,0.551,nenhum
BA,Nordeste,Cerrado,11,44.9,14.8,5,27.3,66.0,50.6,339.0,1.7,122.3,23.7,0.358,inundacao
RS,Sul,Mata Atlantica,8,200.1,52.7,16,13.1,76.5,17.7,577.0,17.1,189.9,32.5,0.584,incendio_florestal
SE,Nordeste,Cerrado,12,126.7,38.4,11,27.3,62.0,21.4,31.0,8.5,98.6,19.5,0.344,estiagem_seca
PE,Nordeste,Caatinga,12,28.0,6.9,0,30.4,80.8,48.1,304.0,13.4,17.7,15.9,0.37,estiagem_seca
SC,Sul,Mata Atlantica,6,163.5,24.6,12,14.7,84.2,35.6,378.0,16.8,789.6,41.7,0.329,nenhum
DF,Centro-Oeste,Cerrado,9,56.4,18.9,4,23.0,63.0,22.1,782.0,12.4,54.3,22.2,0.302,nenhum
RJ,Sudeste,Mata Atlantica,7,41.1,14.8,4,19.8,64.6,29.9,278.0,17.2,12.3,15.5,0.212,incendio_florestal
MG,Sudeste,Cerrado,6,71.7,26.2,9,20.0,67.8,40.0,859.0,9.7,210.7,30.6,0.386,nenhum
MG,Sudeste,Mata Atlantica,9,97.5,23.2,8,19.8,71.9,29.2,854.0,26.9,76.3,15.8,0.38,deslizamento
PI,Nordeste,Caatinga,9,33.7,11.6,4,23.9,79.5,82.9,458.0,9.3,1040.6,37.8,0.274,estiagem_seca
MA,Nordeste,Caatinga,11,77.8,22.3,7,27.9,64.3,59.9,416.0,2.6,503.1,21.2,0.21,incendio_florestal
SE,Nordeste,Caatinga,10,29.2,9.3,4,25.2,66.8,18.4,144.0,11.2,27.2,13.5,0.355,estiagem_seca
PB,Nordeste,Cerrado,8,38.3,8.2,4,23.5,63.6,52.9,287.0,14.9,7.9,19.1,0.351,estiagem_seca
RS,Sul,Mata Atlantica,12,159.1,40.3,10,19.6,89.7,36.1,88.0,11.3,23.4,15.3,0.449,nenhum
BA,Nordeste,Caatinga,2,127.1,42.4,8,27.7,64.6,7.3,158.0,21.7,1.5,12.4,0.434,nenhum
MG,Sudeste,Mata Atlantica,10,108.2,39.5,12,22.4,75.8,58.2,608.0,16.6,52.1,21.3,0.505,nenhum
SP,Sudeste,Mata Atlantica,5,99.4,49.9,8,19.2,76.3,51.5,1064.0,13.3,215.6,19.7,0.42,nenhum
MG,Sudeste,Mata Atlantica,6,46.6,28.6,3,23.5,68.7,19.7,866.0,13.8,51.2,21.5,0.359,incendio_florestal
GO,Centro-Oeste,Cerrado,10,175.5,113.6,15,23.9,67.4,39.9,163.0,2.1,101.3,18.5,0.417,tempestade
MS,Centro-Oeste,Cerrado,4,110.7,37.1,7,23.4,72.4,27.2,344.0,6.9,157.3,17.4,0.416,nenhum
PR,Sul,Pampa,11,87.9,23.4,9,19.9,83.5,34.1,465.0,10.6,464.5,24.4,0.438,nenhum
SP,Sudeste,Mata Atlantica,6,43.6,10.3,3,19.7,66.8,28.5,397.0,15.1,63.3,21.7,0.243,incendio_florestal
SP,Sudeste,Cerrado,5,94.3,23.0,10,19.1,71.2,52.6,587.0,21.4,35.6,22.1,0.339,tempestade
SC,Sul,Mata Atlantica,4,135.6,36.8,11,16.9,79.2,30.4,1393.0,18.9,21.0,16.6,0.474,nenhum
RJ,Sudeste,Cerrado,6,47.2,20.1,2,20.7,61.9,65.5,496.0,9.9,546.7,24.5,0.238,incendio_florestal
BA,Nordeste,Cerrado,12,138.6,22.6,16,31.0,68.4,38.3,683.0,18.4,20.3,17.6,0.577,estiagem_seca
